province_name,district_name,metric_key,metric_value,unit,data_year,source_org,source_name,source_url,verified_at
Bitlis,,student_count,97086,kisi,2024-2025,MEB,"Millî Eğitim İstatistikleri, Örgün Eğitim 2024/25 - Tablo 1.17",https://sgb.meb.gov.tr/,
Hakkari,,school_count,441,adet,2024-2025,MEB,"Millî Eğitim İstatistikleri, Örgün Eğitim 2024/25 - Tablo 1.17",https://sgb.meb.gov.tr/,
Hakkari,,student_count,70174,kisi,2024-2025,MEB,"Millî Eğitim İstatistikleri, Örgün Eğitim 2024/25 - Tablo 1.17",https://sgb.meb.gov.tr/,
Gaziantep,,school_count,1707,adet,2024-2025,MEB,"Millî Eğitim İstatistikleri, Örgün Eğitim 2024/25 - Tablo 1.17",https://sgb.meb.gov.tr/,
Gaziantep,,student_count,707285,kisi,2024-2025,MEB,"Millî Eğitim İstatistikleri, Örgün Eğitim 2024/25 - Tablo 1.17",https://sgb.meb.gov.tr/,
Adıyaman,,school_count,827,adet,2024-2025,MEB,"Millî Eğitim İstatistikleri, Örgün Eğitim 2024/25 - Tablo 1.17",https://sgb.meb.gov.tr/,
Adıyaman,,student_count,157943,kisi,2024-2025,MEB,"Millî Eğitim İstatistikleri, Örgün Eğitim 2024/25 - Tablo 1.17",https://sgb.meb.gov.tr/,
Kilis,,school_count,230,adet,2024-2025,MEB,"Millî Eğitim İstatistikleri, Örgün Eğitim 2024/25 - Tablo 1.17",https://sgb.meb.gov.tr/,
Kilis,,student_count,57675,kisi,2024-2025,MEB,"Millî Eğitim İstatistikleri, Örgün Eğitim 2024/25 - Tablo 1.17",https://sgb.meb.gov.tr/,
Şanlıurfa,,school_count,2858,adet,2024-2025,MEB,"Millî Eğitim İstatistikleri, Örgün Eğitim 2024/25 - Tablo 1.17",https://sgb.meb.gov.tr/,
Şanlıurfa,,student_count,743888,kisi,2024-2025,MEB,"Millî Eğitim İstatistikleri, Örgün Eğitim 2024/25 - Tablo 1.17",https://sgb.meb.gov.tr/,
Diyarbakır,,school_count,1979,adet,2024-2025,MEB,"Millî Eğitim İstatistikleri, Örgün Eğitim 2024/25 - Tablo 1.17",https://sgb.meb.gov.tr/,
